message_id,action,message_type,reason,confidence,evidence_message_ids
msg_023,notify,business_update,Verified business with strong user engagement.,0.98,message_0243;message_0263
msg_091,mute,scam,Potential phishing or scam indicators detected.,0.55,message_0238;message_0045
msg_090,notify,personal,Important message based on AI analysis.,0.98,message_0046;message_0361
msg_048,mute,scam,Potential phishing or scam indicators detected.,0.55,message_0151;message_0399
msg_040,mute,forward,Low-value message based on user behaviour.,0.55,message_0016;message_0265
msg_075,notify,business_update,Verified business with strong user engagement.,0.97,message_0205;message_0206
msg_005,notify,personal,Important update from marketplace group.,0.98,message_0224;message_0065
msg_104,notify,personal,Important message based on AI analysis.,0.73,message_0224;message_0065
msg_069,digest,greeting,Useful information that does not require immediate attention.,0.55,message_0014;message_0080
msg_107,mute,scam,Prompt injection detected.,0.98,message_0238;message_0085
msg_070,mute,scam,Potential phishing or scam indicators detected.,0.55,message_0369;message_0221
msg_003,notify,business_update,Verified business with strong user engagement.,0.98,message_0004;message_0297
msg_099,notify,business_update,Important message based on AI analysis.,0.91,message_0227;message_0374
msg_008,mute,promotion,Promotional content with low user priority.,0.55,message_0296;message_0072
msg_092,notify,scam,Verified business with strong user engagement.,0.89,message_0102;message_0398
msg_060,notify,promotion,Important update from college_faculty group.,0.98,message_0284;message_0375
msg_004,notify,urgent,Urgent message with high importance.,0.98,message_0246;message_0279
msg_030,mute,promotion,Promotional content with low user priority.,0.55,message_0173;message_0095
msg_045,notify,urgent,Urgent message with high importance.,0.98,message_0061;message_0378
msg_052,mute,scam,Potential phishing or scam indicators detected.,0.55,message_0207;message_0159
msg_009,notify,personal,Important update from sports group.,0.71,message_0192;message_0074
msg_071,notify,urgent,Urgent message with high importance.,0.98,message_0363;message_0073
msg_016,mute,scam,Potential phishing or scam indicators detected.,0.55,message_0024;message_0045
msg_065,mute,promotion,Promotional content with low user priority.,0.55,message_0261;message_0333
msg_038,mute,scam,Potential phishing or scam indicators detected.,0.55,message_0016;message_0265
msg_086,notify,business_update,Verified business with strong user engagement.,0.95,none
msg_014,mute,promotion,User usually dismisses messages from this business.,0.55,message_0017;message_0326
msg_094,mute,promotion,Promotional content with low user priority.,0.55,message_0257;message_0336
msg_029,mute,promotion,Promotional content with low user priority.,0.55,message_0173;message_0095
msg_105,mute,scam,Potential phishing or scam indicators detected.,0.55,message_0233;message_0373
msg_002,notify,event,Important update from coworker group.,0.98,message_0003;message_0159
msg_010,mute,promotion,Promotional content with low user priority.,0.55,message_0242;message_0311
msg_078,mute,scam,Potential phishing or scam indicators detected.,0.55,message_0236;message_0365
msg_013,mute,promotion,Promotional content with low user priority.,0.55,message_0174;message_0114
msg_018,mute,scam,Potential phishing or scam indicators detected.,0.55,message_0026;message_0157
msg_044,mute,scam,Potential phishing or scam indicators detected.,0.55,message_0045;message_0023
msg_032,notify,personal,Important update from college_students group.,0.96,message_0119;message_0285
msg_106,notify,event,Important message based on AI analysis.,0.98,message_0234;message_0376
msg_006,notify,business_update,Important update from society group.,0.8,message_0029;message_0044
msg_109,mute,scam,Potential phishing or scam indicators detected.,0.55,message_0151;message_0067
msg_108,mute,scam,Potential phishing or scam indicators detected.,0.55,message_0094;message_0093
msg_019,mute,scam,Potential phishing or scam indicators detected.,0.55,message_0277;message_0275
msg_088,mute,unknown,Low-value message based on user behaviour.,0.55,none
msg_056,notify,urgent,Urgent message with high importance.,0.98,message_0359;message_0222
msg_027,mute,promotion,Promotional content with low user priority.,0.55,message_0248;message_0272
msg_050,notify,urgent,Urgent message with high importance.,0.98,message_0246;message_0279
msg_083,notify,unknown,Important update from coworker group.,0.75,none
msg_063,mute,scam,Potential phishing or scam indicators detected.,0.55,message_0025;message_0151
msg_033,notify,personal,Important update from family group.,0.98,message_0042;message_0013
msg_061,mute,forward,Low-value message based on user behaviour.,0.55,message_0080;message_0132
msg_020,mute,scam,Potential phishing or scam indicators detected.,0.55,message_0160;message_0221
msg_017,mute,scam,Potential phishing or scam indicators detected.,0.55,message_0025;message_0221
msg_058,mute,urgent,Low-value message based on user behaviour.,0.55,message_0079;message_0131
msg_026,mute,scam,Potential phishing or scam indicators detected.,0.55,message_0028;message_0032
msg_047,notify,event,Important update from society group.,0.98,message_0328;message_0319
msg_046,mute,scam,Potential phishing or scam indicators detected.,0.55,message_0221;message_0148
msg_042,notify,urgent,Urgent message with high importance.,0.98,message_0384;message_0216
msg_079,mute,scam,Potential phishing or scam indicators detected.,0.55,message_0369;message_0221
msg_098,notify,urgent,Urgent message with high importance.,0.98,message_0367;message_0166
msg_037,notify,urgent,Urgent message with high importance.,0.98,message_0369;message_0231
msg_007,notify,event,Important update from society group.,0.71,message_0008;message_0355
msg_085,digest,business_update,Useful information that does not require immediate attention.,0.65,none
msg_001,notify,urgent,Urgent message with high importance.,0.98,message_0129;message_0215
msg_021,notify,payment,Important update from society group.,0.98,message_0016;message_0044
msg_028,mute,promotion,User usually dismisses messages from this business.,0.55,message_0034;message_0315
msg_012,mute,forward,Low-value message based on user behaviour.,0.55,message_0040;message_0016
msg_064,mute,scam,Potential phishing or scam indicators detected.,0.55,message_0159;message_0208
msg_103,notify,personal,Important message based on AI analysis.,0.98,message_0224;message_0065
msg_031,notify,event,Important update from coworker group.,0.98,message_0227;message_0374
msg_057,notify,urgent,Urgent message with high importance.,0.98,message_0003;message_0117
msg_087,mute,unknown,Low-value message based on user behaviour.,0.55,none
msg_067,notify,payment,Important update from society group.,0.98,message_0068;message_0098
msg_039,notify,urgent,Urgent message with high importance.,0.98,message_0364;message_0098
msg_082,digest,unknown,Useful information that does not require immediate attention.,0.65,none
msg_066,mute,promotion,User usually dismisses messages from this business.,0.55,message_0336;message_0337
msg_049,notify,urgent,Urgent message with high importance.,0.98,message_0154;message_0262
msg_015,mute,scam,Potential phishing or scam indicators detected.,0.55,message_0221;message_0045
msg_051,mute,promotion,User usually dismisses messages from this business.,0.55,message_0336;message_0337
msg_097,digest,personal,Useful information that does not require immediate attention.,0.56,message_0366;message_0219
msg_089,notify,urgent,Urgent message with high importance.,0.98,message_0224;message_0383
msg_053,digest,business_update,Useful information that does not require immediate attention.,0.55,message_0411;message_0161
msg_059,mute,scam,Potential phishing or scam indicators detected.,0.55,message_0365;message_0284
msg_024,mute,promotion,User usually dismisses messages from this business.,0.55,message_0336;message_0337
msg_072,mute,scam,Potential phishing or scam indicators detected.,0.55,message_0045;message_0023
msg_036,mute,scam,Potential phishing or scam indicators detected.,0.55,message_0283;message_0127
msg_076,mute,scam,Potential phishing or scam indicators detected.,0.55,message_0207;message_0159
msg_055,notify,urgent,Urgent message with high importance.,0.98,message_0367;message_0166
msg_102,notify,business_update,Important message based on AI analysis.,0.98,message_0230;message_0371
msg_080,notify,urgent,Urgent message with high importance.,0.98,message_0369;message_0384
msg_093,notify,scam,Verified business with strong user engagement.,0.98,message_0267;message_0324
msg_034,notify,greeting,Important update from family group.,0.81,message_0013;message_0042
msg_035,mute,promotion,Promotional content with low user priority.,0.55,message_0273;message_0302
msg_101,digest,personal,Useful information that does not require immediate attention.,0.61,message_0268;message_0360
msg_041,mute,promotion,Promotional content with low user priority.,0.55,message_0308;message_0287
msg_011,mute,forward,Low-value message based on user behaviour.,0.55,message_0014;message_0080
msg_110,mute,scam,Potential phishing or scam indicators detected.,0.55,message_0238;message_0045
msg_095,mute,scam,Prompt injection detected.,0.98,message_0093;message_0085
msg_074,mute,scam,Potential phishing or scam indicators detected.,0.55,message_0301;message_0389
msg_073,mute,scam,Potential phishing or scam indicators detected.,0.55,message_0277;message_0023
msg_054,mute,scam,Potential phishing or scam indicators detected.,0.55,message_0025;message_0323
msg_068,notify,event,Important update from book_club group.,0.9,message_0191;message_0073
msg_100,notify,urgent,Urgent message with high importance.,0.98,message_0362;message_0228
msg_062,notify,urgent,Urgent message with high importance.,0.98,message_0289;message_0043
msg_096,notify,urgent,Urgent message with high importance.,0.98,message_0387;message_0267
msg_043,notify,urgent,Urgent message with high importance.,0.98,message_0359;message_0222
msg_077,notify,event,Important update from school_group group.,0.98,message_0051;message_0364
msg_081,digest,unknown,Useful information that does not require immediate attention.,0.65,none
msg_025,notify,business_update,Verified business with strong user engagement.,0.98,message_0004;message_0297
msg_084,mute,business_update,User usually dismisses messages from this business.,0.55,none
msg_022,notify,payment,Important update from society group.,0.98,message_0151;message_0044
